ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512240,Source2,1,2022-09-08 06:30:03,2022-09-08 07:29:44,34.13385,-80.744522,,,0.0,Crash on SC-47 White Pond Rd at SC-12 Fort Jackson Rd.,White Pond Rd,Elgin,Kershaw,SC,29045-8822,US,US/Eastern,KCDN,2022-09-08 06:35:00,70.0,70.0,100.0,29.52,10.0,NNE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Day,Day
A-512241,Source2,3,2022-09-08 06:09:14,2022-09-08 07:32:00,40.421017,-80.046379,,,0.0,Shoulder closed due to crash on I-376 Eastbound at Exit 67 PA-121 Greentree Rd.,I-376 E,Pittsburgh,Allegheny,PA,15220,US,US/Eastern,KAGC,2022-09-08 05:53:00,65.0,65.0,90.0,28.64,10.0,N,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-512243,Source2,1,2022-09-08 05:37:22,2022-09-08 07:34:00,40.031448,-76.322746,,,0.0,Crash on Pearl St at 6th St.,Pearl St,Lancaster,Lancaster,PA,17603-5037,US,US/Eastern,KLNS,2022-09-08 05:53:00,66.0,66.0,87.0,29.52,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-512244,Source2,1,2022-09-08 06:09:14,2022-09-08 07:35:00,40.310749,-78.495499,,,0.0,Lane blocked due to crash on Ski Gap Rd both ways between Stine Ct and Racers Rd.,Ski Gap Rd,Claysburg,Blair,PA,16625-8018,US,US/Eastern,KAOO,2022-09-08 05:53:00,64.0,64.0,93.0,28.39,7.0,NNE,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512245,Source3,2,2022-09-08 06:45:25,2022-09-08 07:33:10,39.863144,-75.10058599999998,,,0.0,Right hand shoulder blocked due to crash on NJ-42 Northbound at Exit 14 Leaf Ave.,N South Fwy S,Bellmawr,Camden,NJ,08031,US,US/Eastern,KPHL,2022-09-08 06:54:00,66.0,66.0,84.0,29.92,10.0,N,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512246,Source2,2,2022-09-08 06:44:01,2022-09-08 07:28:22,40.01947,-75.69455,,,2.759999990463257,Shoulder closed due to crash on US-30 Downingtown Coatesville Byp Eastbound from US-322 Horseshoe Pike to PA-113 Uwchlan Ave.,Coatesville Downingtown Byp E,Downingtown,Chester,PA,19335,US,US/Eastern,KOQN,2022-09-08 06:35:00,61.0,61.0,100.0,29.26,10.0,N,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512247,Source2,1,2022-09-08 06:44:08,2022-09-08 07:13:25,40.77203,-73.83149,,,0.0,Crash in the construction area on Whitestone Expy Southbound near 137th St.,Whitestone Expy,Flushing,Queens,NY,11354,US,US/Eastern,KLGA,2022-09-08 06:51:00,66.0,66.0,73.0,29.92,10.0,NNE,7.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512248,Source2,1,2022-09-08 06:32:03,2022-09-08 07:01:39,41.38821400000001,-81.97120699999998,,,0.0,Crash on Lorain Rd at I-480.,I-480 E,North Ridgeville,Lorain,OH,44039,US,US/Eastern,KCLE,2022-09-08 06:51:00,58.0,58.0,93.0,29.14,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512249,Source2,3,2022-09-08 06:08:42,2022-09-08 06:57:22,41.46670200000001,-81.768547,,,0.0,Left lane blocked due to crash on I-90 Eastbound at Exit 166 117th St.,I-90,Cleveland,Cuyahoga,OH,44111,US,US/Eastern,KCLE,2022-09-08 05:51:00,57.0,57.0,93.0,29.14,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512250,Source2,1,2022-09-08 06:02:57,2022-09-08 07:37:26,40.562481,-74.3228,,,0.0,Crash on Garden State Pkwy Northbound at Exits 131 131A CR-649 Wood Ave.,Garden State Pkwy,Iselin,Middlesex,NJ,08830,US,US/Eastern,KLDJ,2022-09-08 05:55:00,66.0,66.0,78.0,29.91,10.0,NNE,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512251,Source2,3,2022-09-08 06:50:49,2022-09-08 07:20:00,26.053434,-80.162338,,,0.0,Right lane blocked due to multi-vehicle crash on I-95 Southbound before Exit 22 FL-848 Stirling Rd.,,Dania Beach,Broward,FL,33004,US,US/Eastern,KFLL,2022-09-08 06:53:00,80.0,80.0,87.0,29.79,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A-512252,Source2,3,2022-09-08 06:35:30,2022-09-08 07:04:39,26.410135,-80.089828,,,0.0,Three lanes blocked due to crash on I-95 Northbound before Exit 50 Congress Ave.,I-95,Boca Raton,Palm Beach,FL,33487,US,US/Eastern,KBCT,2022-09-08 06:53:00,78.0,78.0,84.0,29.78,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512253,Source2,2,2022-09-08 06:49:20,2022-09-08 07:47:46,27.937590000000004,-82.121178,,,0.0,Lane blocked due to crash on FL-60 at FL-39 James L Redman Pkwy.,J L Redman Pkwy,Plant City,Hillsborough,FL,33567,US,US/Eastern,KPCM,2022-09-08 06:50:00,73.0,73.0,100.0,29.57,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-512254,Source2,1,2022-09-08 06:17:04,2022-09-08 07:34:55,35.140629,-80.983398,,,0.0,Lane blocked due to crash on Quality Dr at Westinghouse Blvd.,Quality Dr,Charlotte,Mecklenburg,NC,28278-8737,US,US/Eastern,KUZA,2022-09-08 05:54:00,70.0,70.0,81.0,29.17,10.0,NNE,9.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512255,Source2,1,2022-09-08 06:14:56,2022-09-08 07:29:20,35.29457100000001,-80.855026,,,0.0,Lane blocked due to crash on Pheasant Chase Ln at Olde English Dr.,Olde English Dr,Charlotte,Mecklenburg,NC,28216-3294,US,US/Eastern,KCLT,2022-09-08 06:34:00,69.0,69.0,84.0,29.09,10.0,NNE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512256,Source2,1,2022-09-08 06:29:31,2022-09-08 07:28:20,35.325653,-80.945358,,,0.0,Crash on NC-16 Brookshire Blvd at Mt Holly-Huntersville Rd.,Brookshire Blvd,Charlotte,Mecklenburg,NC,28214,US,US/Eastern,KCLT,2022-09-08 06:34:00,69.0,69.0,84.0,29.09,10.0,NNE,8.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-512257,Source2,1,2022-09-08 02:02:58,2022-09-08 02:32:20,34.177322,-118.877014,,,0.0,Crash on US-101 Southbound before Exit 44 Moorpark Rd.,US-101,Thousand Oaks,Ventura,CA,91360,US,US/Pacific,KCMA,2022-09-08 01:55:00,68.0,68.0,87.0,29.78,9.0,WNW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512258,Source2,1,2022-09-08 06:18:45,2022-09-08 07:34:33,26.616896,-81.714752,,,0.0,Crash on CR-884 Lee Blvd at Gunnery Rd.,Lee Blvd,Lehigh Acres,Lee,FL,33971-1626,US,US/Eastern,KRSW,2022-09-08 05:53:00,76.0,76.0,94.0,29.77,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-512259,Source3,1,2022-09-08 06:15:44,2022-09-08 07:14:31,26.666849,-81.824501,,,0.0,Crash on Prospect Ave near Glenwood Ave.,Glenwood Ave,Fort Myers,Lee,FL,33905,US,US/Eastern,KFMY,2022-09-08 05:53:00,76.0,76.0,94.0,29.78,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-512260,Source2,1,2022-09-08 05:04:29,2022-09-08 05:32:54,26.932871,-80.15168800000002,,,0.6399999856948853,Crash on exit ramp from I-95 Southbound at Exits 87A 87B to W Indiantown Rd Eastbound.,Florida's Tpke N,Jupiter,Palm Beach,FL,33478,US,US/Eastern,KSUA,2022-09-08 04:55:00,77.0,,83.0,29.79,,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512261,Source2,3,2022-09-08 04:37:21,2022-09-08 06:25:36,41.518433,-87.993073,,,3.7100000381469727,Lane blocked due to crash on I-80 Westbound between Exit 140 I-355 and Exit 137 US-30 Lincoln Hwy.,I-80 E,New Lenox,Will,IL,60451,US,US/Central,KLOT,2022-09-08 04:35:00,61.0,61.0,94.0,29.34,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512262,Source2,3,2022-09-08 05:28:42,2022-09-08 06:30:30,41.685513,-88.067291,,,0.0,Lane blocked due to crash on I-55 Barack Obama Presidential Expy Northbound before Exit 267 IL-53 Bolingbrook Dr.,I-55 S,Bolingbrook,Will,IL,60440,US,US/Central,KLOT,2022-09-08 05:35:00,59.0,59.0,100.0,29.34,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512263,Source2,1,2022-09-08 04:48:21,2022-09-08 06:22:04,41.76078,-88.065224,,,0.0,Crash on IL-53 at CR-2 Hobson Rd.,Hobson Rd,Woodridge,DuPage,IL,60517-1425,US,US/Central,KLOT,2022-09-08 04:55:00,61.0,61.0,94.0,29.34,10.0,CALM,0.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-512264,Source3,1,2022-09-08 04:14:17,2022-09-08 04:43:52,30.235962,-97.686218,,,0.0,Crash on US-183-TOLL Southbound at Thompson Ln.,US-183-TOLL,Austin,Travis,TX,78741,US,US/Central,KAUS,2022-09-08 03:53:00,71.0,71.0,96.0,29.33,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512265,Source2,1,2022-09-08 05:23:55,2022-09-08 06:39:39,30.251431,-97.59568,,,0.0,Crash on FM-969 at Gilbert Ln.,FM 969,Austin,Travis,TX,78724-6363,US,US/Central,KAUS,2022-09-08 05:53:00,69.0,69.0,100.0,29.32,8.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-512266,Source2,1,2022-09-08 04:43:17,2022-09-08 05:12:46,30.405769,-97.668732,,,0.0,Crash on FM-734 Parmer Ln at Center Lake Dr.,E Parmer Ln,Austin,Travis,TX,78753,US,US/Central,KATT,2022-09-08 04:51:00,72.0,72.0,97.0,29.2,9.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512268,Source2,1,2022-09-08 05:52:24,2022-09-08 06:22:11,33.801682,-79.143051,,,0.0,Crash on Cates Bay Hwy at Dongola Hwy.,Kates Bay Hwy,Conway,Horry,SC,29527-6337,US,US/Eastern,KHYW,2022-09-08 05:55:00,70.0,70.0,100.0,29.77,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-512269,Source2,1,2022-09-08 06:24:54,2022-09-08 06:54:40,34.025124,-78.798973,,,0.0,Crash on SC-9 at Springfield Church Rd.,Springfield Church Rd,Loris,Horry,SC,29569-5708,US,US/Eastern,KCPC,2022-09-08 06:15:00,71.0,71.0,96.0,29.72,10.0,NNE,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512270,Source2,1,2022-09-08 05:22:47,2022-09-08 05:52:24,34.690208,-82.356461,,,0.0,One lane blocked due to crash on Reedy Fork Rd at Georgia Rd.,W Georgia Rd,Piedmont,Greenville,SC,29673-9375,US,US/Eastern,KGYH,2022-09-08 04:15:00,70.0,70.0,77.0,28.88,10.0,NE,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-512271,Source3,1,2022-09-08 05:32:09,2022-09-08 06:02:00,34.771252000000004,-83.092598,,,0.0,Crash on Sherwood Dr at SC-28 Highlands Hwy.,Highlands Hwy,Walhalla,Oconee,SC,29691-4724,US,US/Eastern,KCEU,2022-09-08 05:54:00,68.0,68.0,87.0,28.94,10.0,NNE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512272,Source2,1,2022-09-08 06:30:26,2022-09-08 07:30:15,34.774158,-82.38247700000002,,,0.0,Crash on US-25-BR Augusta Rd at Stratford Rd.,Stratford Rd,Greenville,Greenville,SC,29605,US,US/Eastern,KGYH,2022-09-08 06:47:00,68.0,68.0,83.0,28.87,10.0,NE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512273,Source2,2,2022-09-08 06:27:10,2022-09-08 07:27:26,29.055929,-82.016678,,,1.7000000476837158,Lane blocked due to crash on CR-25 Westbound from Del Webb Blvd to 92nd Loop.,E Highway 25,Belleview,Marion,FL,34420,US,US/Eastern,KOCF,2022-09-08 06:51:00,73.0,73.0,96.0,29.72,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-512274,Source2,1,2022-09-08 06:23:55,2022-09-08 07:08:23,35.701229,-78.612167,,,0.0,Crash on NC-50 Benson Rd at Lakeside Dr.,Benson Rd,Garner,Wake,NC,27529-4204,US,US/Eastern,KRDU,2022-09-08 06:33:00,71.0,71.0,93.0,29.46,10.0,NE,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512275,Source2,4,2022-09-08 00:42:58,2022-09-08 01:27:22,36.702473,-77.54950699999998,,,4.329999923706056,Right hand shoulder closed due to crash on I-95 Southbound between Exit 13 Otterdam Rd and Exit 11A US-58.,I-95 N,Emporia,Emporia,VA,23847,US,US/Eastern,KEMV,2022-09-08 00:35:00,69.0,69.0,94.0,29.78,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512276,Source2,2,2022-09-07 16:28:13,2022-09-07 22:29:41,35.221779,-114.126457,,,0.0,Lane blocked due to crash on US-93 Southbound at Exit 67 AZ-68.,US-93,Golden Valley,Mohave,AZ,86413,US,US/Mountain,KIGM,2022-09-07 16:51:00,96.0,96.0,25.0,26.59,10.0,E,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512277,Source2,3,2022-09-07 21:54:19,2022-09-07 22:38:20,38.593945,-121.504059,,,0.0,#1 lane blocked due to crash on I-5 Northbound at Richards Blvd / Bercut D.,I-5,Sacramento,Sacramento,CA,95811,US,US/Pacific,KSAC,2022-09-07 21:53:00,83.0,83.0,28.0,29.83,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-512279,Source2,1,2022-09-08 06:53:22,2022-09-08 07:44:48,28.57468,-81.10585,,,0.0,Crash on 6th St at Hewlett Rd.,Hewlett Rd,Orlando,Orange,FL,32820-2110,US,US/Eastern,KORL,2022-09-08 06:53:00,76.0,76.0,91.0,29.69,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512280,Source3,1,2022-09-08 06:05:04,2022-09-08 06:49:46,32.989311,-80.30729699999998,,,0.0,Crash on SC-61 at United Ln.,United Ln,Ridgeville,Dorchester,SC,29472-6464,US,US/Eastern,KDYB,2022-09-08 05:55:00,70.0,70.0,100.0,29.73,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512281,Source2,2,2022-09-08 06:31:08,2022-09-08 07:30:37,32.998219,-80.093544,,,0.0,Crash on I-26 Eastbound at Exit 203 College Park Rd.,I-26 W,Ladson,Berkeley,SC,29456,US,US/Eastern,KCHS,2022-09-08 06:44:00,74.0,74.0,85.0,29.75,10.0,NNE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512283,Source2,1,2022-09-08 06:54:48,2022-09-08 07:39:31,35.114090000000004,-81.855713,,,0.0,Crash on US-221 at Battleground Rd.,Chesnee Hwy,Chesnee,Spartanburg,SC,29323-8723,US,US/Eastern,KEHO,2022-09-08 06:55:00,64.0,64.0,92.0,29.01,10.0,NNE,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512284,Source2,2,2022-09-08 06:55:14,2022-09-08 07:39:58,35.183311,-82.15724200000002,,,0.0,Crash on I-26 Westbound at Exit 1 SC-128.,Highway 14 E,Landrum,Spartanburg,SC,29356,US,US/Eastern,KGSP,2022-09-08 06:53:00,68.0,68.0,78.0,28.87,10.0,N,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512285,Source2,1,2022-09-08 06:39:53,2022-09-08 07:08:58,35.33345,-80.937271,,,0.0,Crash on Mt Holly-Huntersville Rd at Chastain Parc Dr.,Chastain Parc Dr,Charlotte,Mecklenburg,NC,28216-7662,US,US/Eastern,KCLT,2022-09-08 06:34:00,69.0,69.0,84.0,29.09,10.0,NNE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512286,Source2,2,2022-09-08 06:41:11,2022-09-08 07:09:34,28.036865,-82.082695,,,0.0,Crash on I-4 Westbound near Thomas E. Weightman Middle School.,I-4,Plant City,Hillsborough,FL,33565,US,US/Eastern,KPCM,2022-09-08 06:35:00,74.0,74.0,100.0,29.56,,SSE,3.0,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512287,Source2,2,2022-09-08 06:54:09,2022-09-08 07:44:41,34.990559000000005,-85.22075699999998,,,0.0,Crash on US-41 Ringgold Rd at Keeble St.,Keeble St,Chattanooga,Hamilton,TN,37412-3592,US,US/Eastern,KCHA,2022-09-08 06:53:00,69.0,69.0,73.0,29.18,10.0,NNE,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512288,Source2,3,2022-09-08 05:29:49,2022-09-08 06:30:34,40.91143,-90.249161,,,28.3700008392334,Lane blocked due to crash on I-74 Westbound between Exit 71 CR-34 Bell School Rd and Exit 54 IL-97.,I-74,Knoxville,Knox,IL,61448,US,US/Central,KGBG,2022-09-08 05:35:00,54.0,54.0,100.0,29.25,7.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-512290,Source2,3,2022-09-08 06:31:44,2022-09-08 07:34:44,42.259769,-71.042458,,,0.0,Left-center lane blocked due to crash on I-93 Northbound at East Milton Sq.,Southeast Expy,Milton,Norfolk,MA,02186,US,US/Eastern,KMQE,2022-09-08 06:31:00,58.0,58.0,97.0,29.91,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-512291,Source2,2,2022-09-08 06:45:13,2022-09-08 07:14:51,35.027664,-80.965065,,,0.0,Crash on I-77 Northbound at Exit 85 SC-160.,Highway 160 W,Fort Mill,York,SC,29708,US,US/Eastern,KUZA,2022-09-08 06:54:00,69.0,69.0,84.0,29.18,10.0,NE,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512292,Source2,1,2022-09-08 06:46:22,2022-09-08 07:30:33,35.668785,-78.93051899999998,,,0.0,Right hand shoulder blocked due to crash on US-1 Northbound at Exit 89 New Hill Holleman Rd.,Claude E Pope Memorial Hwy N,New Hill,Wake,NC,27562,US,US/Eastern,KTTA,2022-09-08 06:55:00,68.0,68.0,100.0,29.61,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-512293,Source2,1,2022-09-08 06:45:55,2022-09-08 07:44:09,27.454929,-82.546669,,,0.0,Crash on 15th St near 49th Ave.,49th Ave E,Bradenton,Manatee,FL,34203,US,US/Eastern,KSRQ,2022-09-08 06:53:00,75.0,75.0,90.0,29.76,10.0,SE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-512294,Source2,1,2022-09-08 06:27:11,2022-09-08 07:42:58,28.39263900000001,-81.37505300000002,,,0.0,Crash on CR-527 Orange Ave at Wetherbee Rd.,W Wetherbee Rd,Orlando,Orange,FL,32824,US,US/Eastern,KMCO,2022-09-08 06:53:00,76.0,76.0,94.0,29.7,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-512296,Source2,3,2022-09-08 05:15:52,2022-09-08 06:56:14,38.816067,-77.13666500000002,,,0.0,Right hand shoulder closed due to earlier crash on I-395 Northbound at Exit 3 VA-236.,I-395,Alexandria,Alexandria (City),VA,22304,US,US/Eastern,KDCA,2022-09-08 04:52:00,70.0,70.0,84.0,29.92,10.0,N,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-512300,Source2,1,2022-09-08 06:24:42,2022-09-08 07:37:46,28.01783,-82.20359,,,0.0,Crash on Bethlehem Rd near Ruby Woods Trl.,Harwell Estates Dr,Dover,Hillsborough,FL,33527-4269,US,US/Eastern,KPCM,2022-09-08 06:15:00,74.0,74.0,100.0,29.56,,SE,5.0,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
